Bowl,-60.63963,-23.25125,7.375858,0,0,0,24.68632,13.09692,24.68632
WaterCircle,-62.56488,-35.56876,5.946754,0,0,0,2.366433,2.366433,2.366433
WaterBowlIsland,-61.13719,-35.39222,5.656357,0,0,0,2.542059,1,2.469892
Sphere,38.5113,28.2307,36.05634,0,0,0,1,1,1
Sphere,38.5113,28.2307,36.05634,0,0,0,1,1,1
Sphere,38.5113,26.7307,36.05634,0,0,0,1,1,1
Sphere,38.5113,24.7307,36.05634,0,0,0,1,1,1
Sphere,38.5113,22.7307,36.05634,0,0,0,1,1,1
Sphere,38.5113,21.2307,36.05634,0,0,0,1,1,1
Cube,-0.7138767,1.236414,-3.937236,0,0,0,2.284464,2.284464,2.284464
Cube,-0.7138767,1.236414,-3.937236,0,0,0,2.284464,2.284464,2.284464
Cube,-1.702494,1.004144,-1.935813,0,0,0,2.284464,2.284464,2.284464
Cube,-2.202686,1.743904,-5.949914,0,0,0,3.30779,3.30779,3.30779
HollowCylinder,-47.85198,39.99357,12.94328,339.0098,17.76446,235.7769,20.84368,0.4497341,20.84368
HollowCylinder,-47.85198,39.99357,12.94328,339.0098,17.76446,235.7769,20.84368,0.4497341,20.84368
HollowCylinder,-38.9019,35.49926,12.94327,339.0098,17.76446,235.7769,20.84368,0.4497341,20.84368
HollowCylinder,-30.86275,29.08327,12.94327,339.0098,17.76446,235.7769,20.84368,0.4497341,20.84368
Cube,-27.23572,13.77665,10.34184,0,0,0,1.065524,9.790337,1.065524
Cube,-27.23572,13.77665,11.94268,0,0,0,1.065524,9.790337,1.065524
Cube,-25.36306,12.79029,11.94268,0,0,0,1,8.304499,1
Cube,-25.36306,12.79029,10.33455,0,0,0,1,8.304499,1
QuarterPipe,-15.61379,8.876078,11.17139,0,0,321.972,4.792336,1,1
SpeedBoost,-12.85168,8.949371,10.97043,4.258055,183.7309,14.95811,1,1,1
SpeedBoost,-8.474608,7.656933,10.18857,3.016243,15.17265,345.5989,1,1,1
SpeedBoost,-5.582921,5.878991,9.865572,0,0,0,1,1,1
LargeIsland1,25.37262,-5.762891,7.00272,0,0,0,1,1,1
Cube,21.99861,14.20936,5.285734,0,0,0,3.246704,111.3153,3.246704
Cube,21.99861,14.20936,10.06415,0,0,0,3.246704,111.3153,3.246704
Cube,21.99861,14.20936,0.6402368,0,0,0,3.246704,111.3153,3.246704
SpeedBoost,20.37526,18.86475,5.210763,-1.017778E-12,-1.707547E-06,89.99996,1,1,1
SpeedBoost,20.37525,22.34336,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,27.47034,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,30.78886,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,37.89698,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,37.89698,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,43.2072,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,43.2072,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,45.35109,5.214069,0,0,0,1,1,1
SpeedBoost,20.37525,48.10109,5.214069,0,0,0,1,1,1
